 20
 -0.282695 0.369133
 -0.408084 0.531162
 -0.194359 0.438831
 -0.587985 0.564375
 -0.532019 0.544863
 -1.008192 0.650205
 -0.959098 0.629464
 -1.004282 0.713652
 -0.200031 0.651943
 -0.494472 0.591783
 -0.539350 0.510808
 -0.226098 0.802672
 -0.730486 0.605516
 -0.698654 0.593112
 -0.472160 0.637550
 -0.626814 0.633787
 -0.804456 0.653111
 -0.730525 0.931586
 -0.587302 0.721529
 -0.073567 0.821579
 1 1 1.000000
 2 2 1.000000
 3 3 1.000000
 4 4 1.000000
 5 5 1.000000
 6 6 1.000000
 7 7 1.000000
 8 8 1.000000
 9 9 1.000000
 10 10 1.000000
 11 11 1.000000
 12 12 1.000000
 13 13 1.000000
 14 14 1.000000
 15 15 1.000000
 16 16 1.000000
 17 17 1.000000
 18 18 1.000000
 19 19 1.000000
 20 20 1.000000
 1 2 0.905704
 1 3 0.765147
 1 4 0.863154
 1 5 0.866420
 1 6 0.804233
 1 7 0.755169
 1 8 0.643372
 1 9 -0.001592
 1 10 0.834858
 1 11 0.726346
 1 12 0.644892
 1 13 0.566480
 1 14 0.736194
 1 15 0.636510
 1 16 0.667273
 1 17 0.709673
 1 18 0.508645
 1 19 0.723298
 1 20 0.582777
 2 3 0.772689
 2 4 0.890556
 2 5 0.835596
 2 6 0.831704
 2 7 0.789813
 2 8 0.700532
 2 9 -0.022134
 2 10 0.883824
 2 11 0.752143
 2 12 0.661519
 2 13 0.607522
 2 14 0.770110
 2 15 0.635292
 2 16 0.683520
 2 17 0.755421
 2 18 0.554527
 2 19 0.751307
 2 20 0.649591
 3 4 0.775495
 3 5 0.729273
 3 6 0.742183
 3 7 0.701259
 3 8 0.655108
 3 9 0.025817
 3 10 0.768104
 3 11 0.714138
 3 12 0.597228
 3 13 0.597175
 3 14 0.718775
 3 15 0.513998
 3 16 0.628286
 3 17 0.714215
 3 18 0.521962
 3 19 0.637913
 3 20 0.549306
 4 5 0.830307
 4 6 0.835957
 4 7 0.809215
 4 8 0.726614
 4 9 0.004008
 4 10 0.889598
 4 11 0.773755
 4 12 0.678949
 4 13 0.632750
 4 14 0.776847
 4 15 0.655585
 4 16 0.689172
 4 17 0.776154
 4 18 0.573595
 4 19 0.753348
 4 20 0.653932
 5 6 0.842407
 5 7 0.775894
 5 8 0.720833
 5 9 0.011830
 5 10 0.840444
 5 11 0.737005
 5 12 0.693921
 5 13 0.641289
 5 14 0.792854
 5 15 0.724074
 5 16 0.722608
 5 17 0.771591
 5 18 0.542759
 5 19 0.767590
 5 20 0.607600
 6 7 0.845159
 6 8 0.818901
 6 9 -0.052710
 6 10 0.879613
 6 11 0.804096
 6 12 0.690219
 6 13 0.709686
 6 14 0.840213
 6 15 0.684459
 6 16 0.774444
 6 17 0.827518
 6 18 0.640270
 6 19 0.753499
 6 20 0.680405
 7 8 0.811958
 7 9 -0.025690
 7 10 0.853936
 7 11 0.776873
 7 12 0.682870
 7 13 0.708390
 7 14 0.812780
 7 15 0.640104
 7 16 0.743917
 7 17 0.804355
 7 18 0.659769
 7 19 0.716817
 7 20 0.676082
 8 9 -0.070481
 8 10 0.797907
 8 11 0.789136
 8 12 0.650067
 8 13 0.729247
 8 14 0.834309
 8 15 0.609072
 8 16 0.718241
 8 17 0.832564
 8 18 0.730147
 8 19 0.629467
 8 20 0.701662
 9 10 -0.007982
 9 11 -0.063543
 9 12 -0.022622
 9 13 -0.016991
 9 14 -0.046283
 9 15 -0.035957
 9 16 -0.032406
 9 17 0.029198
 9 18 -0.045820
 9 19 -0.020892
 9 20 0.034901
 10 11 0.818055
 10 12 0.732094
 10 13 0.710542
 10 14 0.843712
 10 15 0.679151
 10 16 0.746226
 10 17 0.820297
 10 18 0.639497
 10 19 0.780679
 10 20 0.692968
 11 12 0.641654
 11 13 0.685577
 11 14 0.825944
 11 15 0.604420
 11 16 0.719371
 11 17 0.793472
 11 18 0.699814
 11 19 0.662338
 11 20 0.675584
 12 13 0.564707
 12 14 0.695270
 12 15 0.553359
 12 16 0.619183
 12 17 0.676110
 12 18 0.530694
 12 19 0.684141
 12 20 0.519563
 13 14 0.738678
 13 15 0.479870
 13 16 0.652736
 13 17 0.760877
 13 18 0.596795
 13 19 0.597220
 13 20 0.589057
 14 15 0.641265
 14 16 0.761090
 14 17 0.861436
 14 18 0.749477
 14 19 0.727773
 14 20 0.676460
 15 16 0.670965
 15 17 0.602940
 15 18 0.454627
 15 19 0.583738
 15 20 0.493172
 16 17 0.756521
 16 18 0.614922
 16 19 0.649508
 16 20 0.595606
 17 18 0.660833
 17 19 0.700761
 17 20 0.665009
 18 19 0.516877
 18 20 0.667863
 19 20 0.567874
